motion_id,difficulty,prompt,seed,selection,rank,feasibility_score,run_id,run_label,root_z_range,root_speed_max,root_accel_max,joint_vel_abs_max,joint_accel_abs_max,body_ang_speed_max,duration_actual_s,has_reference_video,train,disable_terminations,curriculum,duration_requested_s,fps,frames,root_z_initial,root_z_min,root_z_max,root_xy_displacement,root_speed_mean,joint_pos_abs_max,joint_vel_rms,body_speed_max,has_training_logs,train_video_count,checkpoint_count,root_z_range_score,root_speed_max_score,root_accel_max_score,joint_vel_abs_max_score,joint_accel_abs_max_score,body_ang_speed_max_score
jump,difficult,A person jumps,3,best,1,-0.076849,1780419653_a-person-jumps_seed3_seed-sweep,seed-sweep,0.329948,1.52513,12.4305,10.4003,212.799,17.0799,3.98,True,False,True,False,4,50,199,0.78014,0.568244,0.898192,0.0406733,0.230161,1.69035,1.29304,4.3661,False,0,0,-0.956978,0,0.0466162,-0.0323194,-0.0143122,0.880145
jump,difficult,A person jumps,1,,2,0.477893,1780419653_a-person-jumps_seed1_seed-sweep,seed-sweep,0.351232,1.59557,13.7715,12.4975,342.039,11.16,3.98,True,False,True,False,4,50,199,0.783578,0.632427,0.983659,0.0129222,0.267203,1.45661,1.25194,2.43256,False,0,0,-0.850857,0.0610022,0.183682,0.598516,0.587089,-0.10154
jump,difficult,A person jumps,0,,3,0.507693,1780419653_a-person-jumps_seed0_seed-sweep,seed-sweep,0.395413,1.78498,12.9314,12.0878,364.787,9.64485,3.98,True,False,True,False,4,50,199,0.785105,0.583881,0.979295,0.00350406,0.302124,1.65874,1.23848,3.34022,False,0,0,-0.63057,0.225045,0.0978116,0.475268,0.69294,-0.352801
jump,difficult,A person jumps,2,,4,3.84472,1780419653_a-person-jumps_seed2_seed-sweep,seed-sweep,0.523287,2.16187,20.678,13.7423,382.739,15.6751,3.98,True,False,True,False,4,50,199,0.777247,0.572629,1.09592,0.0570395,0.351017,1.68295,1.36139,4.37906,False,0,0,0.0070011,0.55146,0.889618,0.972962,0.776479,0.647199
jump,difficult,A person jumps,4,worst,5,5.02535,1780419653_a-person-jumps_seed4_seed-sweep,seed-sweep,0.505258,2.34932,25.1016,14.9869,415.632,16.4507,3.98,True,False,True,False,4,50,199,0.781869,0.582091,1.08735,0.414112,0.390727,2.44596,1.99611,4.13384,False,0,0,-0.0828907,0.713796,1.34176,1.34732,0.92954,0.775819
roll,difficult,A person rolls forward on the ground,3,best,1,0.542833,1780419947_a-person-rolls-forward-on-the-ground_seed3_seed-sweep,seed-sweep,0.699867,1.58615,11.9745,11.1234,153.134,10.0196,3.98,False,False,True,False,4,50,199,0.780565,0.0806979,0.780565,1.01124,0.363069,2.5384,1.26769,2.76827,False,0,0,0.887419,0.0528502,0,0.185173,-0.291951,-0.290658
roll,difficult,A person rolls forward on the ground,2,,2,2.27414,1780419947_a-person-rolls-forward-on-the-ground_seed2_seed-sweep,seed-sweep,0.692128,1.99669,14.5377,12.5979,215.874,12.5334,3.98,False,False,True,False,4,50,199,0.771203,0.0790743,0.771203,1.03103,0.368097,2.78587,1.26489,2.52845,False,0,0,0.848834,0.4084,0.261999,0.628704,0,0.126204
roll,difficult,A person rolls forward on the ground,4,random,3,4.85916,1780419947_a-person-rolls-forward-on-the-ground_seed4_seed-sweep,seed-sweep,0.698795,2.35007,17.3196,15.193,337.242,16.248,3.98,False,False,True,False,4,50,199,0.782362,0.0835663,0.782362,1.42993,0.443571,2.78176,1.47541,5.4997,False,0,0,0.882076,0.714452,0.546344,1.40933,0.564765,0.7422
roll,difficult,A person rolls forward on the ground,1,worst,4,9.03865,1780419947_a-person-rolls-forward-on-the-ground_seed1_seed-sweep,seed-sweep,0.691822,2.88365,21.8109,21.6507,386.618,23.0069,3.98,False,False,True,False,4,50,199,0.774931,0.0832415,0.775063,1.2493,0.399085,2.16796,1.27677,6.5244,False,0,0,0.847305,1.17656,1.00541,3.35181,0.794528,1.86303
squat_stand,medium,A person squats down and stands up,3,best,1,-5.79229,1780419585_a-person-squats-down-and-stands-up_seed3_seed-sweep,seed-sweep,0.521883,0.763036,4.30644,4.00237,23.7957,2.73973,3.98,True,False,True,False,4,50,199,0.769977,0.259436,0.781319,0.0587508,0.402555,2.7506,0.780163,0.981779,False,0,0,0,-0.660019,-0.783771,-1.95682,-0.893806,-1.49788
squat_stand,medium,A person squats down and stands up,2,,2,-5.56694,1780419585_a-person-squats-down-and-stands-up_seed2_seed-sweep,seed-sweep,0.533373,0.685892,3.81895,4.23845,48.0976,3.34638,3.98,True,False,True,False,4,50,199,0.776265,0.249356,0.78273,0.00432841,0.287245,2.71216,0.770737,0.892148,False,0,0,0.0572915,-0.726829,-0.833599,-1.88581,-0.780722,-1.39728
squat_stand,medium,A person squats down and stands up,4,,3,-5.3718,1780419585_a-person-squats-down-and-stands-up_seed4_seed-sweep,seed-sweep,0.486515,0.676285,3.22655,3.73401,102.409,5.73827,3.98,True,False,True,False,4,50,199,0.77735,0.300834,0.787349,0.00754127,0.278363,2.44995,0.764301,1.10156,False,0,0,-0.176344,-0.73515,-0.89415,-2.03754,-0.527991,-1.00063
squat_stand,medium,A person squats down and stands up,0,,4,-5.23423,1780419585_a-person-squats-down-and-stands-up_seed0_seed-sweep,seed-sweep,0.527603,0.824189,3.84524,3.86449,42.6523,5.61887,3.98,True,False,True,False,4,50,199,0.755,0.631874,1.15948,0.109569,0.17978,2.58627,0.620379,0.975611,False,0,0,0.02852,-0.607056,-0.830911,-1.99829,-0.80606,-1.02043
squat_stand,medium,A person squats down and stands up,1,worst,5,-1.23427,1780419585_a-person-squats-down-and-stands-up_seed1_seed-sweep,seed-sweep,0.551796,0.842035,7.37736,9.34796,127.14,14.4247,3.98,True,False,True,False,4,50,199,0.778308,0.232293,0.784089,0.00648461,0.315074,2.8346,0.757372,0.8734,False,0,0,0.149143,-0.5916,-0.469883,-0.348864,-0.412911,0.439842
turn_walk,medium,A person turns around and walks forward,0,best,1,-3.99266,1780420254_a-person-turns-around-and-walks-forward_seed0_seed-sweep,seed-sweep,0.0536902,1.27208,4.87486,9.2838,205.644,9.97721,3.98,False,False,True,False,4,50,199,0.775342,0.721689,0.775379,3.29628,0.861566,1.47533,1.14443,3.72788,False,0,0,-2.33438,-0.219152,-0.725671,-0.368164,-0.0476045,-0.297686
turn_walk,medium,A person turns around and walks forward,2,,2,-3.48057,1780420255_a-person-turns-around-and-walks-forward_seed2_seed-sweep,seed-sweep,0.060066,1.32917,4.75423,9.27339,237.587,11.7723,3.98,False,False,True,False,4,50,199,0.780991,0.724732,0.784798,3.40721,0.881605,1.4538,1.25147,3.67277,False,0,0,-2.3026,-0.169714,-0.738001,-0.371296,0.101038,0
turn_walk,medium,A person turns around and walks forward,1,worst,3,-2.74526,1780420254_a-person-turns-around-and-walks-forward_seed1_seed-sweep,seed-sweep,0.0583369,1.41265,5.43234,10.5078,267.089,12.3376,3.98,False,False,True,False,4,50,199,0.782023,0.730335,0.788671,3.56355,0.922033,1.49404,1.30717,3.96882,False,0,0,-2.31122,-0.0974114,-0.668689,0,0.238319,0.0937393
